title,job description,questions
Budget Analyst,"<h4>Job brief</h4><p>We are looking for a reliable Budget Analyst to help us in effective budget planning and spending. You will conduct reviews of budget proposals and analyses of data to determine the correct allocation of funding.</p>
<p>A budget analyst must have a strong mathematical mind and an ability to think critically. You should also be knowledgeable about all legal regulations pertaining to budgeting. We want to see candidates with strong attention to detail, writing skills and excellent communication ability.</p>
<p>The goal is to organize our finances and ensure we can accelerate our profitability and growth.</p>
<h4>Responsibilities</h4><ul>
<li>Review budget proposals and funding requests</li>
<li>Conduct cost/benefit and other types of analyses</li>
<li>Submit budget recommendations for approval or rejection of funding requests</li>
<li>Explain and defend recommendations to management and stakeholders</li>
<li>Collaborate with managers to develop final consolidated budget</li>
<li>Ensure the organization’s budget adheres to legal regulations</li>
<li>Oversee expenditure and identify trends in spending</li>
<li>Make forecasts for future budget needs</li>
<li>Suggest improvements to increase profits (e.g. spending cuts)</li>
<li>Prepare periodical and special reports</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven experience as budget analyst</li>
<li>Knowledge of data analysis and forecasting methods</li>
<li>Understanding of budgeting and regulatory requirements</li>
<li>Excellent mathematical ability and an analytical mind</li>
<li>Proficient in MS Office and databases; knowledge of graphic software is a plus</li>
<li>Outstanding communication skills (verbal and written)</li>
<li>Attention to detail</li>
<li>BSc/MSc in accounting, finance, business or relevant field</li>
</ul>
","['Walk me through the process of preparing a budget', 'Tell me how you go about preparing a forecasting report', 'When reviewing a funding request, what kind of information do you need?', 'Imagine an executive tells you there’s some inconsistency between approved budget and actual expenditure at a department.\xa0What do you do?', 'If you had to prepare several budget at the same time, how would you prioritize?', 'Tell me about your experience with cost-benefit analysis', 'How would you rate your data analysis skills, on a scale of 1 to 10?', 'Do you think the job of a budget analyst requires teamwork? Why?', 'How do you maintain attention to detail when preparing a budget?', 'Tell me about a time you made a suggestion that resulted in a significant spending cut', 'Recall a time you had to defend a budget recommendation to a demanding executive. Was the recommendation approved in the end?', 'Describe a time when you had to present a budget recommendation to an multi-disciplinary audience. How did you make yourself understood to all of them?', 'Give me an example of a time you used financial information to solve a problem', 'Tell me about a time you had a disagreement with a department’s manager over budget']"
Management Accountant,"<h4>Job brief</h4><p>We are looking for a reliable Management Accountant to assist senior management in making critical business decisions by analyzing and presenting key financial data. You will oversee accounting procedures and prepare forecasts, budgets and risk analysis.</p>
<p>An excellent management accountant must have an exceptional mathematical mind combined with a strong business orientation. You must be able to assume responsibility of cost accounting tasks and be both a strategist and a decision maker.</p>
<p>The goal is to contribute to the decision making process of management that will ensure business growth and long-term success.</p>
<h4>Responsibilities</h4><ul>
<li>Gather and analyze financial information for internal use</li>
<li>Support budgeting and funding</li>
<li>Assist the company in managing its investment portfolio</li>
<li>Assume responsibility of accounting procedures</li>
<li>Evaluate the company’s performance using key data</li>
<li>Make forecasts to assist business planning and decision-making</li>
<li>Conduct risk assessment and advise on ways to minimize risk</li>
<li>Advise on problems and suggest improvements</li>
<li>Supervise lower-level personnel</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven experience as management accountant, <accounting-supervisor-job-description"">accounting supervisor or similar role</li>
<li>Solid knowledge of basic and advanced accounting and financial principles and practices</li>
<li>Excellent knowledge of cost accounting and reporting</li>
<li>Excellent knowledge or risk analysis, budgeting and forecasting</li>
<li>Working knowledge of financial software and MS Office</li>
<li>Analytical mind with aptitude in math</li>
<li>Excellent communication and presentation skills</li>
<li>A problem-solver with attention to detail</li>
<li>Organizational and leadership skills</li>
<li>BSc/BA in accounting, finance or similar field</li>
<li>Relevant certification (e.g. CMA or CGMA) will be preferred</li>
</ul>
","['What does a credit mean for the accounting equation?', 'Where and how would you use discounted cash flow (DCF)?', 'If a manager asked you to help them decide if an investment is a good idea, how would you go about it?', 'Imagine you are asked to find a way to reduce a specific cost. Where would you start and how would you make a decision?', 'What information do you need for different types of forecasting?', 'What would you do if you had to present a report to a non-financial audience?', 'What’s your experience with cost-accounting? Financial accounting?', 'Talk about your experience in budgeting', 'Do you have a specialty area?', 'How do you maintain attention to detail?', 'What do you do to enhance your knowledge?', 'How would you rate your skills in Excel on a scale from 1 to 10?', 'What do you know about six sigma?', 'Give me an example of a time you helped reduce costs', 'Tell me about a time you played an important role in an important decision', 'Recall a time you prevented senior management from making a bad decision with help from financial data', 'Give me an example of a time you explained financial information to a non-financial person', 'What project are you most proud of?', 'Tell me about a time you thought of a new process to promote efficiency', 'Have you ever faced an ethical dilemma in your job? How did you approach it?']"
Accounting Manager,"<h4>Job brief</h4><p><span class=""hardreadability""><span data-offset-key=""65n7a-0-0""><span data-text=""true"">We are looking for an Accounting Manager to supervise, track and </span></span></span><span class=""complexword""><span data-offset-key=""65n7a-1-0""><span data-text=""true"">evaluate</span></span></span><span class=""hardreadability""><span data-offset-key=""65n7a-2-0""><span data-text=""true""> day-to-day activities</span></span></span><span data-offset-key=""65n7a-3-0""><span data-text=""true"">. </span></span><span class=""veryhardreadability""><span data-offset-key=""65n7a-4-0""><span data-text=""true"">Accounting Manager responsibilities include establishing financial status by developing and implementing systems for collecting, </span></span></span><credit-analyst-job-description""><span data-offset-key=""65n7a-5-0""><span data-text=""true"">analyzing</span></span><span class=""veryhardreadability""><span data-offset-key=""65n7a-6-0""><span data-text=""true"">, verifying and reporting information</span></span></span><span data-offset-key=""65n7a-7-0""><span data-text=""true"">. We are also looking for someone to work </span></span><span class=""adverb""><span data-offset-key=""65n7a-8-0""><span data-text=""true"">closely</span></span></span><span data-offset-key=""65n7a-9-0""><span data-text=""true""> with our </span></span><financial-controller-job-description""><span data-offset-key=""65n7a-10-0""><span data-text=""true"">financial management</span></span><span data-offset-key=""65n7a-11-0""><span data-text=""true""> team.</span></span></p>
<h4>Responsibilities</h4><ul>
<li><span data-offset-key=""65n7a-0-0""><span data-text=""true"">Manage and oversee the daily operations of the accounting department including:</span></span>
<ul>
<li>month and end-year process</li>
<li>accounts payable/receivable</li>
<li>cash receipts</li>
<li>general ledger</li>
<li>payroll and utilities</li>
<li>treasury, budgeting</li>
<li>cash forecasting</li>
<li>revenue and expenditure variance analysis</li>
<li>capital assets reconciliations</li>
<li>trust account statement reconciliations,</li>
<li>check runs</li>
<li>fixed asset activity</li>
<li>debt activity</li>
</ul>
</li>
</ul>
<ul>
<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""98src"" data-offset-key=""51bdf-0-0"">
<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""51bdf-0-0""><span class=""complexword""><span data-offset-key=""51bdf-0-0""><span data-text=""true"">Monitor</span></span></span><span data-offset-key=""51bdf-1-0""><span data-text=""true""> and analyze accounting data and produce financial reports or statements</span></span></div>
</li>
<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""98src"" data-offset-key=""cmm2k-0-0"">
<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""cmm2k-0-0""><span data-offset-key=""cmm2k-0-0""><span data-text=""true"">Establish and enforce proper accounting methods, policies and principles</span></span></div>
</li>
<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""98src"" data-offset-key=""5d91j-0-0"">
<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""5d91j-0-0""><span data-offset-key=""5d91j-0-0""><span data-text=""true"">Coordinate and complete annual audits</span></span></div>
</li>
<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""98src"" data-offset-key=""4nl77-0-0"">
<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""4nl77-0-0""><span data-offset-key=""4nl77-0-0""><span data-text=""true"">Provide recommendations</span></span></div>
</li>
<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""98src"" data-offset-key=""7blg3-0-0"">
<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""7blg3-0-0""><span data-offset-key=""7blg3-0-0""><span data-text=""true"">Improve systems and procedures and </span></span><span class=""complexword""><span data-offset-key=""7blg3-1-0""><span data-text=""true"">initiate</span></span></span><span data-offset-key=""7blg3-2-0""><span data-text=""true""> corrective actions</span></span></div>
</li>
<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""98src"" data-offset-key=""af5p4-0-0"">
<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""af5p4-0-0""><span data-offset-key=""af5p4-0-0""><span data-text=""true"">Assign projects and direct </span></span><accountant-job-description""><span data-offset-key=""af5p4-1-0""><span data-text=""true"">staff</span></span><span data-offset-key=""af5p4-2-0""><span data-text=""true""> to ensure compliance and accuracy</span></span></div>
</li>
<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""98src"" data-offset-key=""1v2qg-0-0"">
<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""1v2qg-0-0""><span data-offset-key=""1v2qg-0-0""><span data-text=""true"">Meet financial accounting objectives</span></span></div>
</li>
<li class=""public-DraftStyleDefault-unorderedListItem public-DraftStyleDefault-depth0 public-DraftStyleDefault-listLTR"" data-block=""true"" data-editor=""98src"" data-offset-key=""6c39j-0-0"">
<div class=""public-DraftStyleDefault-block public-DraftStyleDefault-ltr"" data-offset-key=""6c39j-0-0""><span data-offset-key=""6c39j-0-0""><span data-text=""true"">Establish and maintain fiscal files and records to document transactions</span></span></div>
</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven working experience as Accounting Manager, <accounting-supervisor-job-description"">Accounting Supervisor or Finance Manager</li>
<li>Advanced computer skills on MS Office, accounting software and databases</li>
<li>Ability to manipulate large amounts of data</li>
<li>Proven knowledge of bookkeeping and accounting principles, practices, standards, laws and regulations</li>
<li>High attention to detail and accuracy</li>
<li>Ability to direct and supervise</li>
<li>BS degree in Accounting or Finance</li>
</ul>
","['Can you mention three types of special journals?', 'What methods have you used to estimate bad debt?', 'What accounting software have you used?', 'What is fraud analysis? Can you walk me through the process you’d follow step-by-step?', 'What ERP systems have you experience working with?', 'How do you track your team’s progress on delegated tasks? Name any tools you use.', 'What information and metrics do you need to prepare an annual budget?', 'Are you familiar with SFAS (Statement of Financial Accounting Standards)?', 'How do you ensure data accuracy and minimum errors in your reports?', 'How would you deal with an error in customer payment?', 'What resources do you use to stay up-to-date with changes in legislation?', 'Have you ever implemented any improvements to accounting procedures?', 'Describe a time when your team managed to achieve ambitious goals you set. What did you do to support them and how did you motivate them?', 'What’s the most challenging analysis problem you’ve faced at work?']"
Junior Accountant,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for an ambitious <strong>Junior Accountant</strong> to provide support to the financial department by managing daily accounting tasks. You will be part of a team of professionals working to maintain order and transparency for the company’s finances.</span></p>
<p>Preparing financial statements and reporting are a large part of the junior accountant’s day-to-day work. The ideal candidate will be well-versed in accounting principles and able to work comfortably with numbers and attention to detail.</p>
<p>The goal is to contribute to the overall efficient operation of the department and help the company be fully aware of its financial condition. This way it can make the right decisions and accomplish long term success.</p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Post and process journal entries to ensure all business transactions are recorded</span></li>
<li><span style=""font-weight: 400;"">Update accounts receivable and issue invoices</span></li>
<li><span style=""font-weight: 400;"">Update accounts payable and perform reconciliations</span></li>
<li><span style=""font-weight: 400;"">Assist in the processing of balance sheets, income statements and other financial statements according to legal and company accounting and financial guidelines</span></li>
<li><span style=""font-weight: 400;"">Assist with reviewing of expenses, payroll records etc. as assigned</span></li>
<li><span style=""font-weight: 400;"">Update financial data in databases to ensure that information will be accurate and immediately available when needed </span></li>
<li><span style=""font-weight: 400;"">Prepare and submit weekly/monthly reports</span></li>
<li><span style=""font-weight: 400;"">Assist senior accountants in the preparation of monthly/yearly closings</span></li>
<li><span style=""font-weight: 400;"">Assist with other accounting projects</span></li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as a junior accountant</span></li>
<li><span style=""font-weight: 400;"">Excellent organizing abilities</span></li>
<li><span style=""font-weight: 400;"">Great attention to detail</span></li>
<li><span style=""font-weight: 400;"">Good with numbers and figures and an analytical acumen</span></li>
<li><span style=""font-weight: 400;"">Good understanding of accounting and financial reporting principles and practices</span></li>
<li><span style=""font-weight: 400;"">Excellent knowledge of MS Office and familiarity with relevant computer software (e.g. SAP)</span></li>
<li><span style=""font-weight: 400;"">Qualifications (ACA, ACCA or CIMA) is a plus but not required</span></li>
<li><span style=""font-weight: 400;"">BSc/Ba in accounting, finance or relevant field</span></li>
</ul>
","['What’s important to consider when updating a journal entry?', 'What steps are needed for bank reconciliation?', 'How familiar are you with SFAS (Statement of Financial Accounting Standards)?', 'Have you used any ERP systems (e.g. Tally) before?', 'How do you prepare yourself for a senior accountant position?', 'What actions do you take to protect confidential information?', 'How do you prioritize your tasks?', 'What do you do to avoid mistakes in your job?', 'If you realized you made a mistake on a report, what would you do?', 'If a manager pressured you to provide them with information they don’t have permission for, how would you handle it?', 'Tell me about a difficult project you worked on during your studies/internship/etc.', 'Describe the accounting project you are most proud of', 'What was the most important thing you learned during your internship? What was your most significant contribution?', 'Have you ever made a mistake due to misunderstanding instructions? What have you learned?', 'Have you ever been asked to do something that you didn’t agree with? What did you do?']"
Accountant,"<h4>Job brief</h4><p>We are looking for an Accountant to manage all financial transactions, from fixed payments and variable expenses to bank deposits and budgets.</p>
<p>Accountant responsibilities include auditing financial documents and procedures, reconciling bank statements and calculating tax payments and returns. To be successful in this role, you should have previous experience with bookkeeping and a flair for spotting numerical mistakes.</p>
<p>Ultimately, you will provide us with accurate quantitative information on financial position, liquidity and cash flows of our business, while ensuring we’re compliant with all tax regulations.</p>
<h4>Responsibilities</h4><ul>
<li>Manage all accounting transactions</li>
<li>Prepare budget forecasts</li>
<li>Publish financial statements in time</li>
<li>Handle monthly, quarterly and annual closings</li>
<li>Reconcile accounts payable and receivable</li>
<li>Ensure timely bank payments</li>
<li>Compute taxes and prepare tax returns</li>
<li>Manage balance sheets and profit/loss statements</li>
<li>Report on the company’s financial health and liquidity</li>
<li>Audit financial transactions and documents</li>
<li>Reinforce financial data confidentiality and conduct database backups when necessary</li>
<li>Comply with financial policies and regulations</li>
</ul>
<h4>Requirements</h4><ul>
<li>Work experience as an Accountant</li>
<li>Excellent knowledge of accounting regulations and procedures, including the Generally Accepted Accounting Principles (GAAP)</li>
<li>Hands-on experience with accounting software like FreshBooks and QuickBooks</li>
<li>Advanced MS Excel skills including Vlookups and pivot tables</li>
<li>Experience with general ledger functions</li>
<li>Strong attention to detail and good analytical skills</li>
<li>BSc in Accounting, Finance or relevant degree</li>
<li>Additional certification (CPA or CMA) is a plus</li>
</ul>
","['What do you know about our business model?', 'How do ensure accuracy in your work?', 'How have you handled tight deadlines?', 'How do you stay motivated while doing repetitive tasks?', 'Describe an accounting process that you developed or improved.', 'Describe a time you helped your company reduce costs.', 'How would you set up an internal control system for processing invoices?', 'Share your experience with accounts receivable and accounts payable.', 'Which accounting software programs have you used?', 'Describe your familiarity with accounting standards such as FASB and GAAP.']"
Finance Clerk,"<h4>Job brief</h4><p>We are looking for a Finance Clerk to take on various administrative tasks. Your main responsibilities will include keeping financial records, preparing bills and delivering high-quality customer service.</p>
<p>We’re looking for an individual with a keen eye for detail, strong math skills and the ability to multi-task efficiently. You should also be trustworthy and an excellent communicator.</p>
<p>Your goal will be to ensure our accounting procedures run smoothly.</p>
<h4>Responsibilities</h4><ul>
<li>Process bills, checks, receipts and other documents</li>
<li>Ensure all documents are properly signed and distributed</li>
<li>Verify financial and other data (e.g. tax identification numbers)</li>
<li>Monitor financial transactions</li>
<li>Enter data and maintain updated records</li>
<li>Assist with account reconciliations</li>
<li>Communicate with vendors, customers and colleagues</li>
<li>Report the status of accounts and discrepancies</li>
</ul>
<h4>Requirements</h4><ul>
<li><finance-clerk-interview-questions"">Proven experience as a Finance Clerk</li>
<li>Knowledge of basic bookkeeping and financial transactions</li>
<li>Familiarity with financial regulations, i.e. Generally Accepted Accounting Principles (GAAP)</li>
<li>Knowledge of MS Office and databases</li>
<li>Attention to detail</li>
<li>Organizational and multitasking abilities</li>
<li>Excellent verbal and written communication skills</li>
<li>Reliability and strong work ethics</li>
<li>Ability to solve problems</li>
<li>High school diploma or equivalent</li>
</ul>
","['You need to retrieve data from a spreadsheet, but there are some formulas you don’t recognize. How would you go about getting what you need?', 'A coworker asks to see the expense reports of another department. How would you respond?', 'If you realized you made a mistake on a report, what would you do?', 'What information would you need to compile a report on accounts receivable?', 'What would you do if our system broke down while you were in the middle of a transaction? What would you tell a customer who was waiting for the transaction to go through?', 'What would you do if your manager gave you inadequate instructions for a process you were unfamiliar with?', 'What would you check first if you found a billing discrepancy?', 'Describe your main duties as a Finance Clerk.', 'What accounting software have you used?', 'What recordkeeping system do you use to ensure records remain confidential?', 'Describe the process of a bank reconciliation.', 'What types of documents do you need to verify an invoice?', 'How do you ensure data entry accuracy?', 'How do you prioritize your work when you have multiple duties?', 'How do you stay focused when dealing with repetitive tasks?', 'How do you learn about new finance regulations and laws?', 'Describe a time when you had to complete a project under a tight deadline. How did you organize your schedule to make sure you wouldn’t fall behind?']"
Financial Specialist,"<h4>Job brief</h4><p>We are looking for a responsible Financial Specialist to analyze and offer advice for all of our financial issues.</p>
<p>A successful <financial-specialist-interview-questions"">Financial Specialist in our company uses financial management knowledge to perform cost analyses, prepare budget reports and evaluate current accounting trends. You should also advise our senior management team on potential acquisitions and strategic decisions in alignment with business objectives and legislation.</p>
<p>Ultimately, you should recommend, design and monitor short-term and long-term investment strategies for our company.</p>
<h4>Responsibilities</h4><ul>
<li>Analyze financial data to identify our company’s financial status</li>
<li>Conduct cost and benchmarking analyses</li>
<li>Prepare budget reports</li>
<li>Develop financial models, taking legal limitations into consideration</li>
<li>Participate in regular audits and recommend corrective financial action plans</li>
<li>Design and review fiscal policies</li>
<li>Identify investment opportunities</li>
<li>Advise our senior management team on financial planning (e.g. acquisitions, mergers and loans)</li>
<li>Create forecast models based on current and past financial results</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven work experience as a Financial Specialist, Financial Analyst or relevant role</li>
<li>Familiarity with finance and statistical analysis software</li>
<li>Understanding of financial and accounting principles</li>
<li>An ability to analyze market trends and provide data-based advice</li>
<li>Strong analytical skills with an attention to detail</li>
<li>An ability to present and explain investment information and financial plans</li>
<li>BS degree in Finance, Economics or related field</li>
<li>Additional qualification (e.g. CPA or CFA) a plus</li>
</ul>
","['What data would you collect to conduct a benchmark analysis?', 'The CEO informs you they plan to make an investment (e.g. open a new store in a foreign country.) How would you begin advising them?', 'What factors would you take into consideration before advising a company to take (or not take) a loan?', 'What would you do if you found a mistake in a report you prepared but your manager hadn’t noticed?', 'What metrics would you present to investors to describe the company’s financial health?', 'Describe the budgeting process step-by-step.', 'What financial and statistical analysis software have you used?', 'What kinds of reports do you prepare or monitor on a regular basis? How do you use this information?', 'What kind of financial model will help you build an annual forecasting report?', 'What’s the use of the Weighted Average Cost Of Capital (WACC)? How will an increase in debt affect it?', 'What is a good Internal Rate of Return (IRR) on an investment? What formula do you use to calculate it?', 'Describe a time when you coordinated a challenging financial task, e.g. audits or tax collections.', 'Give an example of a time when your attention to detail saved you from a making a mistake at work.', 'How do you learn about global economic issues? What are the biggest challenges that companies of our industry will face in the next years?', 'How would you describe your leadership style? How do you delegate tasks to your team members?']"
Financial Planner,"<h4>Job brief</h4><p>We are looking for a Financial Planner to help clients manage their finances. You will be our clients’ trusted advisor in areas including investments, cash flow, savings and debt management.</p>
<p>Our financial planner should be an effective communicator with experience in financial planning and business development. If you’re analytical, meticulous and customer-oriented, we’d like to meet you.</p>
<p>Your goal will be to ensure clients make wise and profitable decisions to meet their financial goals.</p>
<h4>Responsibilities</h4><ul>
<li>Analyze clients’ financial statuses (e.g. income, expenses and liabilities)</li>
<li>Examine and suggest financial opportunities (e.g. insurance plans, investments)</li>
<li>Develop sound plans and budgets for clients</li>
<li>Customize financial plans according to clients’ changing needs</li>
<li>Help clients implement their plans and carry out transactions</li>
<li>Present and sell suitable financial products and services</li>
<li>Find and approach prospective clients</li>
<li>Build strong relationships to retain existing clients</li>
<li>Maintain updated knowledge of regulations, practices and financial products</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven experience as financial planner or similar role; experience in sales or customer service is an asset</li>
<li>Ability to analyze financial information and comply with regulations</li>
<li>Proficiency in MS Office and CRM systems</li>
<li>Attention to detail and strong math skills</li>
<li>Strong ethics, with a customer-oriented attitude</li>
<li>Outstanding communication skills, with the ability to foster long-term relationships</li>
<li>Valid professional license (e.g. Series 7 &amp; 66)</li>
<li>BSc/BA in accounting, finance, business administration or relevant field; professional certification (e.g. CFP) is a plus</li>
</ul>
","['If hired, what are the biggest economic risks you would advise us on?', 'What kinds of investments would you recommend to increase our revenues within the next five years?', 'If you want to prevent a manager from making an investment, how do you ensure they understand the risks?', 'Is a positive cash flow enough to tell whether a company is profitable?', 'We are planning to expand our business with two new stores/offices. What are your main responsibilities in this project?', 'What is your client portfolio?', 'How often do you evaluate the financial results for a company of our size?', 'What information do you use to forecast next year’s financial status? How do you organize your data and how do you present your results?', 'How do you check your work for accuracy? (e.g. ensuring correct data entry in large spreadsheets)', 'What financial analysis software do you use?', 'What metrics do you check when reviewing a department’s budget?', 'What are some ground rules you follow in designing investment models, regardless the client’s financial status?', 'Describe a situation when you undervalued potential risks from an investment. What happened and what did you learn from that experience?', 'How do you ensure you’re up-to-date with finance industry developments and regulations? What resources (e.g. newspapers, blogs) do you follow?', 'Describe a time when your advice to senior managers resulted in higher revenues.', 'What’s the most difficult loan/debt problem you’ve faced with a client? How did you address it?', 'How would you explain complex financial concepts in simple terms to managers who may not understand industry-speak?']"
Treasurer,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a reliable Treasurer to manage organization’s financial aspects from cash management to corporate finance. Senior management will also depend on you to report and analyze relevant information. </span></p>
<p><span style=""font-weight: 400;"">We expect candidates who are experienced in financial management and swear by regulations. You should also be well-informed of financial planning processes and have a strong ability to report and explain issues to management. If you get excited when it comes to risk management and investments, we’d like to meet you.</span></p>
<p><span style=""font-weight: 400;"">The goal will be to protect the company’s finances to guarantee the long term success of business.</span></p>
<h4>Responsibilities</h4><ul>
<li>Perform risk management (liquidity, interest rates, ventures etc.)</li>
<li>Assume responsibility for cash management procedures</li>
<li><span style=""font-weight: 400;"">Manage the company’s investment activity and make decisions</span></li>
<li><span style=""font-weight: 400;"">Assist in the development of financing strategies</span></li>
<li><span style=""font-weight: 400;"">Maintain relations with banks and rating agencies</span></li>
<li><span style=""font-weight: 400;"">Provide advice in matters of corporate finance</span></li>
<li>Prepare budgets and monitor expenditures</li>
<li><span style=""font-weight: 400;"">Implement relevant legislation and policies</span></li>
<li>Submit reports of present financial situation and forecasting</li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as treasurer or in a relevant financial role</span></li>
<li><span style=""font-weight: 400;"">Thorough knowledge of financial legislation, regulation and practices</span></li>
<li><span style=""font-weight: 400;"">Knowledge of monetary market, investment management and financing techniques</span></li>
<li><span style=""font-weight: 400;"">Working knowledge of MS Office and financial management software (SAP, Oracle etc.)</span></li>
<li>Good with numbers and figures</li>
<li>Excellent communication and interpersonal skills</li>
<li>Well-organized and reliable</li>
<li>Excellent leadership and decision-making abilities</li>
<li><span style=""font-weight: 400;"">BSc/MSc in finance, accounting or relevant field</span></li>
</ul>
","['What’s key to a healthy investment?', 'How would you explain liquidity risk management to a non-finance person?', 'When would you issue a debt and how?', 'What information do you need to measure interest rate risk?', 'What’s your experience in hedging?', 'What cash management software do you prefer and why?', 'Do you pay more attention to direct reports or subordinates?', 'What do you do to follow money markets?', 'Describe a time where your good management allowed your company to save money', 'Tell me about a time you coached others towards success', 'Have you ever had trouble enforcing a specific regulation? How did you handle\xa0it?', 'Describe a time you spotted a mistake in the company’s cash statements', 'Explain how you maintained good relationships with partners and/or\xa0agencies\xa0in your previous job']"
CFO,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for an experienced <strong>Chief Financial Officer or CFO</strong> to perform effective risk management and plan the organization’s financial strategy. It is a very important and complex role since an organization can only survive if it actively investigates and safeguards its finances.</span></p>
<p><span style=""font-weight: 400;"">A CFO must be well-versed in all aspects of financial management ranging from simple accounting to broad investment and banking operations. The ideal candidate will be an excellent leader since all relative departments of the organization will be under their command.</span></p>
<p><span style=""font-weight: 400;"">The goal is to protect the company’s revenues and profits to achieve full financial control and sustainable growth.</span></p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Drive the company’s financial planning</span></li>
<li>Perform risk management by analyzing the organization’s liabilities and investments</li>
<li>Decide on investment strategies by considering cash and liquidity risks</li>
<li>Control and evaluate the organization’s fundraising plans and capital structure</li>
<li>Ensure cash flow is appropriate for the organization’s operations</li>
<li>Supervise all finance personnel (controllers, treasurers etc.)</li>
<li>Manage vendor relationships</li>
<li><span style=""font-weight: 400;"">Prepare reliable current and forecasting reports</span></li>
<li>Set up and oversee the company’s finance IT system</li>
<li><span style=""font-weight: 400;"">Ensure compliance with the law and company’s policies</span></li>
<li>Manage team of <financial-controller-job-description"">financial controllers and financial analysts.</li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as <strong>CFO</strong>, <finance-officer-job-description"">finance officer or relevant role</span></li>
<li><span style=""font-weight: 400;"">In depth knowledge of corporate financial law and risk management practices</span></li>
<li>Excellent knowledge of data analysis and forecasting methods</li>
<li><span style=""font-weight: 400;"">Proficient in the use of MS Office and financial management software (e.g. SAP)</span></li>
<li>Ability to strategize and solve problems</li>
<li><span style=""font-weight: 400;"">Strong leadership and organizational skills</span></li>
<li>Excellent communication and people skills</li>
<li><span style=""font-weight: 400;"">An analytical mind, comfortable with numbers</span></li>
<li><span style=""font-weight: 400;"">CPA is a strong advantage</span></li>
<li><span style=""font-weight: 400;"">BSc/BA in Accounting, Finance or relevant field; MSc/MBA is a plus</span></li>
</ul>
","['What would you do if revenue forecasts for next year decreased?', 'If you had to decide whether a possible investment is profitable, how would you do it?', 'Explain the evolution of the product of your current/previous company. Give me an example of a landmark decision that was made in the product strategy and your opinion of that decision', 'What type of customer does your company sell to? Has it changed?', 'What is a pricing or packaging decision that the company made and what was your view on that decision?', 'What was the personality of the company you were just working at and did it fit you?', 'Give me an example of your investment strategy when funding departments during the annual budget cycle', 'What do you think was key to your current/previous company’s success?', 'What are two metrics a CFO should always monitor?', 'Tell me about a time when you faced conflict with stakeholders. How did you resolve it?', 'Recall a time you showed excellent leadership in managing your department', 'Describe your most important contribution to your current/previous company']"
